"","nuts2","geo_code","X2014","nuts3","covidinnos","cleaninnos","covidinnos_shares","cleaninnos_shares","innos","covidOinnos","innos_shares","cleanOinnos"
"1","UKC1","UKC12",87.9,"UKC12",24,185,0.511182108626198,1.39359698681733,2364,1.01522842639594,0.884462419700615,7.82571912013536
"2","UKC1","UKC14",87.1,"UKC14",24,185,0.511182108626198,1.39359698681733,2364,1.01522842639594,0.884462419700615,7.82571912013536
"3","UKC1","UKC13",93.2,"UKC13",24,185,0.511182108626198,1.39359698681733,2364,1.01522842639594,0.884462419700615,7.82571912013536
"4","UKC1","UKC11",93.9,"UKC11",24,185,0.511182108626198,1.39359698681733,2364,1.01522842639594,0.884462419700615,7.82571912013536
"5","UKC2","UKC23",94.2,"UKC23",23,126,0.489882854100107,0.949152542372881,3439,0.668799069496947,1.28666085505517,3.66385577202675
"6","UKC2","UKC22",88,"UKC22",23,126,0.489882854100107,0.949152542372881,3439,0.668799069496947,1.28666085505517,3.66385577202675
"7","UKC2","UKC21",83.4,"UKC21",23,126,0.489882854100107,0.949152542372881,3439,0.668799069496947,1.28666085505517,3.66385577202675
"8","UKD1","UKD11",99.8,"UKD11",4,62,0.0851970181043663,0.467043314500942,907,0.441014332965821,0.339343238015422,6.83572216097023
"9","UKD1","UKD12",79.4,"UKD12",4,62,0.0851970181043663,0.467043314500942,907,0.441014332965821,0.339343238015422,6.83572216097023
"10","UKD3","UKD36",82.9,"UKD36",78,297,1.66134185303514,2.23728813559322,6699,1.16435288849082,2.50635099389781,4.43349753694581
"11","UKD3","UKD34",97.1,"UKD34",78,297,1.66134185303514,2.23728813559322,6699,1.16435288849082,2.50635099389781,4.43349753694581
"12","UKD3","UKD35",95.2,"UKD35",78,297,1.66134185303514,2.23728813559322,6699,1.16435288849082,2.50635099389781,4.43349753694581
"13","UKD3","UKD33",90.9,"UKD33",78,297,1.66134185303514,2.23728813559322,6699,1.16435288849082,2.50635099389781,4.43349753694581
"14","UKD3","UKD37",84.1,"UKD37",78,297,1.66134185303514,2.23728813559322,6699,1.16435288849082,2.50635099389781,4.43349753694581
"15","UKD4","UKD42",72.3,"UKD42",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"16","UKD4","UKD47",82.1,"UKD47",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"17","UKD4","UKD45",86.3,"UKD45",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"18","UKD4","UKD46",88.6,"UKD46",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"19","UKD4","UKD44",85.2,"UKD44",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"20","UKD4","UKD41",78.9,"UKD41",16,162,0.340788072417465,1.22033898305085,3074,0.520494469746259,1.15010045607432,5.27000650618087
"21","UKD6","UKD62",120.3,"UKD62",102,302,2.17252396166134,2.27495291902072,5626,1.81301102026306,2.10490083470206,5.36793458940633
"22","UKD6","UKD61",98.2,"UKD61",102,302,2.17252396166134,2.27495291902072,5626,1.81301102026306,2.10490083470206,5.36793458940633
"23","UKD6","UKD63",102.1,"UKD63",102,302,2.17252396166134,2.27495291902072,5626,1.81301102026306,2.10490083470206,5.36793458940633
"24","UKD7","UKD72",89.5,"UKD72",38,120,0.80937167199148,0.903954802259887,3670,1.03542234332425,1.37308675139647,3.26975476839237
"25","UKD7","UKD73",85.6,"UKD73",38,120,0.80937167199148,0.903954802259887,3670,1.03542234332425,1.37308675139647,3.26975476839237
"26","UKD7","UKD71",102.9,"UKD71",38,120,0.80937167199148,0.903954802259887,3670,1.03542234332425,1.37308675139647,3.26975476839237
"27","UKD7","UKD74",82.1,"UKD74",38,120,0.80937167199148,0.903954802259887,3670,1.03542234332425,1.37308675139647,3.26975476839237
"28","UKE1","UKE12",89.1,"UKE12",5,103,0.106496272630458,0.775894538606403,1457,0.343170899107756,0.545119181685193,7.06932052161977
"29","UKE1","UKE13",93.1,"UKE13",5,103,0.106496272630458,0.775894538606403,1457,0.343170899107756,0.545119181685193,7.06932052161977
"30","UKE1","UKE11",86.8,"UKE11",5,103,0.106496272630458,0.775894538606403,1457,0.343170899107756,0.545119181685193,7.06932052161977
"31","UKE2","UKE21",91.5,"UKE21",40,186,0.851970181043664,1.40112994350282,3455,1.15774240231548,1.29264706432556,5.383502170767
"32","UKE2","UKE22",82.7,"UKE22",40,186,0.851970181043664,1.40112994350282,3455,1.15774240231548,1.29264706432556,5.383502170767
"33","UKE3","UKE31",82,"UKE31",51,131,1.08626198083067,0.986817325800377,2476,2.05977382875606,0.926365884593368,5.2907915993538
"34","UKE3","UKE32",87,"UKE32",51,131,1.08626198083067,0.986817325800377,2476,2.05977382875606,0.926365884593368,5.2907915993538
"35","UKE4","UKE42",92.1,"UKE42",34,204,0.724174653887114,1.53672316384181,4624,0.735294117647059,1.73001447914367,4.41176470588235
"36","UKE4","UKE41",89.8,"UKE41",34,204,0.724174653887114,1.53672316384181,4624,0.735294117647059,1.73001447914367,4.41176470588235
"37","UKE4","UKE45",85.6,"UKE45",34,204,0.724174653887114,1.53672316384181,4624,0.735294117647059,1.73001447914367,4.41176470588235
"38","UKE4","UKE44",83.8,"UKE44",34,204,0.724174653887114,1.53672316384181,4624,0.735294117647059,1.73001447914367,4.41176470588235
"39","UKF1","UKF15",83.3,"UKF15",67,606,1.42705005324814,4.56497175141243,6464,1.0365099009901,2.41842854523891,9.375
