NUTS215CD,NUTS215NM,OBJECTID
UKC1,Tees Valley and Durham,0
UKC2,Northumberland and Tyne and Wear,1
UKD1,Cumbria,2
UKD3,Greater Manchester,3
UKD4,Lancashire,4
UKD6,Cheshire,5
UKD7,Merseyside,6
UKE1,East Yorkshire and Northern Lincolnshire,7
UKE2,North Yorkshire,8
UKE3,South Yorkshire,9
UKE4,West Yorkshire,10
UKF1,Derbyshire and Nottinghamshire,11
UKF2,"Leicestershire, Rutland and Northamptonshire",12
UKF3,Lincolnshire,13
UKG1,"Herefordshire, Worcestershire and Warwickshire",14
UKG2,Shropshire and Staffordshire,15
UKG3,West Midlands,16
UKH1,East Anglia,17
UKH2,Bedfordshire and Hertfordshire,18
UKH3,Essex,19
UKI3,Inner London - West,20
UKI4,Inner London - East,21
UKI5,Outer London - East and North East,22
UKI6,Outer London - South,23
UKI7,Outer London - West and North West,24
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",25
UKJ2,"Surrey, East and West Sussex",26
UKJ3,Hampshire and Isle of Wight,27
UKJ4,Kent,28
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",29
UKK2,Dorset and Somerset,30
UKK3,Cornwall and Isles of Scilly,31
UKK4,Devon,32
UKL1,West Wales and The Valleys,33
UKL2,East Wales,34
UKM2,Eastern Scotland,35
UKM3,South Western Scotland,36
UKM5,North Eastern Scotland,37
UKM6,Highlands and Islands,38
UKN0,Northern Ireland,39
